# reactions: 3
Time	S	I	R	N	Fired Reaction
1.8102680171718797	32.0	27.0	41.0	100.0	 3
1.8152161257933408	33.0	27.0	40.0	100.0	 3
1.8156039125280505	33.0	26.0	41.0	100.0	 2
1.8261669317195834	34.0	26.0	40.0	100.0	 3
1.8278100553900933	35.0	26.0	39.0	100.0	 3
1.8543807124312452	34.0	27.0	39.0	100.0	 1
1.8591331512054525	34.0	26.0	40.0	100.0	 2
1.8877428998006895	34.0	25.0	41.0	100.0	 2
1.9111693871339948	33.0	26.0	41.0	100.0	 1
1.9126766447469838	34.0	26.0	40.0	100.0	 3
1.9282471106000842	34.0	25.0	41.0	100.0	 2
1.9517114175420276	35.0	25.0	40.0	100.0	 3
1.9652620829445528	34.0	26.0	40.0	100.0	 1
1.9672222853137582	34.0	25.0	41.0	100.0	 2
1.9697077740677218	34.0	24.0	42.0	100.0	 2
1.9780045808569346	34.0	23.0	43.0	100.0	 2
2.001485227347912	34.0	22.0	44.0	100.0	 2
2.01904690101074	34.0	21.0	45.0	100.0	 2
2.040104610575036	34.0	20.0	46.0	100.0	 2
2.0494563065714346	35.0	20.0	45.0	100.0	 3
2.077544286417378	36.0	20.0	44.0	100.0	 3
2.1114741297679873	35.0	21.0	44.0	100.0	 1
2.1265052038059844	36.0	21.0	43.0	100.0	 3
2.1284756701399314	37.0	21.0	42.0	100.0	 3
2.1632226535460917	38.0	21.0	41.0	100.0	 3
2.1772422034175696	38.0	20.0	42.0	100.0	 2
2.1773175610015194	38.0	19.0	43.0	100.0	 2
2.1960333341385767	38.0	18.0	44.0	100.0	 2
2.2198771778398463	37.0	19.0	44.0	100.0	 1
2.223098464276884	36.0	20.0	44.0	100.0	 1
2.2280539362185516	35.0	21.0	44.0	100.0	 1
2.233477272005062	35.0	20.0	45.0	100.0	 2
2.261471191677504	36.0	20.0	44.0	100.0	 3
2.265438060733876	37.0	20.0	43.0	100.0	 3
2.2892996380245574	37.0	19.0	44.0	100.0	 2
2.3232971552390294	36.0	20.0	44.0	100.0	 1
2.3479976452848317	37.0	20.0	43.0	100.0	 3
2.3557995482536667	38.0	20.0	42.0	100.0	 3
2.366715894941416	39.0	20.0	41.0	100.0	 3
2.3817408454992393	39.0	19.0	42.0	100.0	 2
2.393315416806877	39.0	18.0	43.0	100.0	 2
2.404444805708321	38.0	19.0	43.0	100.0	 1
2.410723140848873	37.0	20.0	43.0	100.0	 1
2.4107676164234153	38.0	20.0	42.0	100.0	 3
2.4571019284209656	37.0	21.0	42.0	100.0	 1
2.4848392738521063	38.0	21.0	41.0	100.0	 3
2.490704616850207	37.0	22.0	41.0	100.0	 1
2.513057632640377	38.0	22.0	40.0	100.0	 3
2.5287230400523355	37.0	23.0	40.0	100.0	 1
2.529759321719094	38.0	23.0	39.0	100.0	 3
2.540462663290402	39.0	23.0	38.0	100.0	 3
2.569706736309646	38.0	24.0	38.0	100.0	 1
2.5703327055417335	39.0	24.0	37.0	100.0	 3
2.5907505800525867	40.0	24.0	36.0	100.0	 3
2.591107575788597	40.0	23.0	37.0	100.0	 2
2.592775717678128	39.0	24.0	37.0	100.0	 1
2.6031667903552846	38.0	25.0	37.0	100.0	 1
2.631761828462209	38.0	24.0	38.0	100.0	 2
2.640644493384821	39.0	24.0	37.0	100.0	 3
2.69318277722986	38.0	25.0	37.0	100.0	 1
2.6959657565869155	38.0	24.0	38.0	100.0	 2
2.700849896274687	37.0	25.0	38.0	100.0	 1
2.7094690208264556	36.0	26.0	38.0	100.0	 1
2.7095221388199437	36.0	25.0	39.0	100.0	 2
2.718587553796365	36.0	24.0	40.0	100.0	 2
2.726597562461199	35.0	25.0	40.0	100.0	 1
2.730321143381361	36.0	25.0	39.0	100.0	 3
2.775340428653697	35.0	26.0	39.0	100.0	 1
2.7880500581500596	35.0	25.0	40.0	100.0	 2
2.8026429476283687	35.0	24.0	41.0	100.0	 2
2.8055614037570105	36.0	24.0	40.0	100.0	 3
2.8129862293567345	36.0	23.0	41.0	100.0	 2
2.8214297597490368	35.0	24.0	41.0	100.0	 1
2.821438998145644	34.0	25.0	41.0	100.0	 1
2.8322084213330974	33.0	26.0	41.0	100.0	 1
2.839555186578182	34.0	26.0	40.0	100.0	 3
2.850273678971567	33.0	27.0	40.0	100.0	 1
2.895837149322681	32.0	28.0	40.0	100.0	 1
2.9065350705968145	33.0	28.0	39.0	100.0	 3
2.9111117531889033	34.0	28.0	38.0	100.0	 3
2.911466255692535	34.0	27.0	39.0	100.0	 2
2.9150537005938326	35.0	27.0	38.0	100.0	 3
2.950366307949246	36.0	27.0	37.0	100.0	 3
2.951792912141648	36.0	26.0	38.0	100.0	 2
